condition,count,mean,std,min,25%,50%,75%,max,sem
Cardinality (no change),23.0,176.0,17.09864428437636,144.0,166.0,172.0,188.0,204.0,3.565313794127089
Decrease by 1 (Correct),22.0,176.36363636363637,12.276750983815493,152.0,168.0,174.0,180.0,204.0,2.6174121042689076
Decrease by 1 (Incorrect),22.0,170.54545454545453,17.52475058643869,144.0,154.0,176.0,187.0,192.0,3.7362893789821334
Decrease by 2 (Correct),24.0,177.16666666666666,14.177957989556296,144.0,168.0,178.0,188.0,204.0,2.8940635557524117
Decrease by 2 (Incorrect),15.0,177.06666666666666,20.253629892182875,148.0,160.0,168.0,198.0,204.0,5.229464751511534
Decrease by 3 (Correct),24.0,176.83333333333334,14.684113470202997,152.0,167.0,176.0,189.0,204.0,2.997382110593878
Decrease by 3 (Incorrect),9.0,174.22222222222223,16.261747890200624,148.0,164.0,180.0,180.0,204.0,5.420582630066876
Increase by 1 (Correct),23.0,169.3913043478261,18.746488472231956,144.0,156.0,168.0,180.0,204.0,3.908913059415153
Increase by 1 (Incorrect),22.0,176.54545454545453,16.297026526120447,144.0,165.0,180.0,187.0,204.0,3.4745377298352667
Increase by 2 (Correct),24.0,168.83333333333334,18.424149243922194,144.0,155.0,168.0,179.0,200.0,3.760813716041156
Increase by 2 (Incorrect),18.0,171.33333333333334,18.214409292709796,144.0,158.0,176.0,184.0,196.0,4.293177442060786
Increase by 3 (Correct),23.0,170.08695652173913,18.32512692124783,144.0,158.0,168.0,182.0,204.0,3.8210531025055174
Increase by 3 (Incorrect),20.0,167.0,19.46116240375336,144.0,152.0,164.0,173.0,204.0,4.351648205595573
